Säuren,+ 91/676/EWG,
Laugen,+ 91/676/EWG,
Alkalimetalle,+ 91/676/EWG,
Siliciumlegierungen mit > 30% Silicium,+ 91/676/EWG,
metallorganische Verbindungen,+ 91/676/EWG,
Mineral- und Teeroele sowie deren Produkte,+ 91/676/EWG,
Halogene ,+ 91/676/EWG,
Säurehalogenide,+ 91/676/EWG,
Metallcarbonyle,+ 91/676/EWG,
Beizsalze,+ 91/676/EWG,
flüssige sowie wasserlößliche Kohlenwasserstoffe,+ 91/676/EWG,
Alkohole,+ 91/676/EWG,
Aldehyde,+ 91/676/EWG,
Ketone,+ 91/676/EWG,
Ester,+ 91/676/EWG,
Halogen,+ 91/676/EWG,
stickstoff- und schwefelhaltige organische Verbindungen,+ 91/676/EWG,
Gifte,+ 91/676/EWG,
Abwasser,- 91/676/EWG,
Jauche,- 91/676/EWG,
Gülle,- 91/676/EWG,
Silagesickersaefte,- 91/676/EWG,
Organische peroxide,+ 2014/68/EU,+ 2014/68/EU
Wasser,,
